,arrival_time,interarrival_time,departure_time,delay_wgt,sens_type,servetime_fast,servetime_slow,L_fast,L_slow,charger_choice,est_cost_fast,est_cost_slow,p_fast,p_slow,true_cost,true_total_wait,true_queue_wait,true_servetime
0,16.326218836342598,16.326218836342598,24.42045768233846,11.35923235006948,delay,8.09423884599586,24.282716537987582,0,0,fast,95.99145917162318,275.8330192458757,0.5,0,95.99145917162318,8.09423884599586,0.0,8.09423884599586
1,21.647545719487994,5.321326883145396,84.4980097432356,0.0,price,20.950154674582535,62.850464023747605,1,0,slow,10.475077337291268,0.0,0.5,0,0.0,62.850464023747605,0.0,62.850464023747605
2,28.686203648566014,7.03865792907802,57.21409599183094,0.9547460484465609,price,28.527892343264924,85.58367702979477,0,1,fast,41.50083865687355,81.71067745572326,0.5,0,41.50083865687355,28.527892343264924,0.0,28.527892343264924
3,65.20895191956276,36.52274827099674,68.24922631291082,1.561882960221927,price,3.040274393348059,9.120823180044178,0,1,fast,6.26868996604342,14.245658308108172,0.5,0,6.268689966043416,3.0402743933480565,-2.6645352591003757e-15,3.040274393348059
4,100.58864753989641,35.37969562033364,131.62361660329796,10.807730890059515,delay,31.034969063401547,93.10490719020464,0,0,fast,350.9350783502671,1006.2527814556989,0.5,0,350.9350783502671,31.034969063401547,0.0,31.034969063401547
5,106.2957071245004,5.707059584603982,110.9222490654635,10.021602360798779,delay,4.626541940963107,13.879625822889322,1,0,fast,48.67863460837199,139.09609091367133,0.5,0,48.678634608372,4.626541940963108,8.881784197001252e-16,4.626541940963107
6,136.88819202070576,30.592484896205363,137.1905588072963,2.608122852732332,price,0.3023667865905311,0.9071003597715934,0,0,fast,0.9397931193092698,2.365829178042013,0.5,0,0.9397931193092917,0.3023667865905395,8.382183835919932e-15,0.3023667865905311
7,183.98128710475544,47.09309508404968,232.04735133786983,3.388111335581149,price,48.066064233114396,144.1981926993432,0,0,fast,186.8862092015437,488.55953125495955,0.5,0,186.8862092015437,48.06606423311439,-7.105427357601002e-15,48.066064233114396
8,187.1476515664085,3.166364461653073,208.9454073342108,11.689672389944338,delay,21.797755767802308,65.39326730340693,1,0,fast,265.70750164552976,764.4258712848858,0.5,0,265.70750164552965,21.7977557678023,-7.105427357601002e-15,21.797755767802308
9,190.1741014871597,3.026449920751177,251.5718471923883,4.216931036743999,price,42.62643985817748,127.87931957453243,2,0,fast,264.31994270409876,539.2582716715501,0.5,0,280.2232793795828,61.3977457052286,18.771305847051124,42.62643985817748
10,210.0635319164639,19.889430429304188,292.3366530531714,4.557271375734767,price,60.289301715301555,180.86790514590467,2,0,fast,373.258430463853,824.2641269105424,0.5,0,405.085590806327,82.27312113670752,21.98381942140596,60.289301715301555
11,219.52652388012012,9.462991963656224,283.123096021121,0.3844799050212584,price,21.19885738033363,63.5965721410009,3,0,slow,30.284360512954443,24.451604016449632,0.5,0,24.451604016449625,63.59657214100088,-2.1316282072803006e-14,63.5965721410009
12,219.84638929696305,0.31986541684291997,329.95633322630675,9.923524159865588,delay,78.38448603391845,235.15345810175538,3,1,fast,1114.7483087291635,2333.55102274871,0.5,0,1131.8709318412468,110.1099439293437,31.72545789542525,78.38448603391845
13,229.85982783862522,10.013438541662158,403.9627139312555,2.045829909134341,price,111.6260608780841,334.8781826342523,4,1,fast,376.2433103333226,685.1038019497057,0.5,0,411.9979220739544,174.10288609263029,62.47682521454618,111.6260608780841
14,234.22194531187267,4.36211747324745,237.071338150868,2.1062030091052204,price,0.9497976129984411,2.8493928389953234,4,1,slow,97.25450080677241,6.001399771614817,0.5,0,6.001399771614827,2.8493928389953282,4.884981308350689e-15,2.8493928389953234
15,239.50526359830914,5.283318286436475,279.65095384363246,10.483282549546267,delay,13.381896748441111,40.14569024532334,4,1,slow,618.7248677665651,420.8586139882879,0.5,0,420.8586139882878,40.14569024532332,-1.4210854715202004e-14,40.14569024532334
16,240.36698203970934,0.8617184414002055,334.59610574840775,2.368089895858905,price,4.639772522100998,13.919317566302995,4,2,fast,119.87133000337239,139.52624059966422,0.5,0,225.462922011258,94.22912370869841,89.58935118659741,4.639772522100998
17,263.54734919009223,23.18036715038291,338.7921708598299,9.966742313511467,delay,4.196065111422193,12.58819533426658,4,2,fast,492.42253635998793,573.9667031967983,0.5,0,752.0437805641103,75.24482166973769,71.04875655831549,4.196065111422193
18,267.2049650039621,3.6576158138698878,293.5716279239348,0.8279057497080431,price,4.6402246934341,13.920674080302302,5,2,slow,55.836126032830975,48.78076484775594,0.5,0,21.829111832059233,26.36666291997267,12.445988839670367,13.920674080302302
19,269.8170583441928,2.6120933402306497,378.6157466575396,9.339428541482363,delay,39.82357579770966,119.47072739312898,5,3,fast,952.2069408168124,1956.3368900204603,0.5,0,1036.0293628083696,108.79868831334682,68.97511251563716,39.82357579770966
