arrival,16.326218836342598
served by fast,16.326218836342598
arrival,21.647545719487994
served by slow,21.647545719487994
leave fast,24.42045768233846
arrival,28.686203648566014
served by fast,28.686203648566014
leave fast,57.21409599183094
arrival,65.20895191956276
served by fast,65.20895191956276
leave fast,68.24922631291082
leave slow,84.4980097432356
arrival,100.58864753989641
served by fast,100.58864753989641
arrival,106.2957071245004
served by fast,106.2957071245004
leave fast,110.9222490654635
leave fast,131.62361660329796
arrival,136.88819202070576
served by fast,136.88819202070576
leave fast,137.1905588072963
arrival,183.98128710475544
served by fast,183.98128710475544
arrival,187.1476515664085
served by fast,187.1476515664085
arrival,190.1741014871597
waiting for fast,190.1741014871597
leave fast,208.9454073342108
move cust. from queue to fast server,208.9454073342108
arrival,210.0635319164639
waiting for fast,210.0635319164639
arrival,219.52652388012012
served by slow,219.52652388012012
arrival,219.84638929696305
waiting for fast,219.84638929696305
arrival,229.85982783862522
waiting for fast,229.85982783862522
leave fast,232.04735133786983
move cust. from queue to fast server,232.04735133786983
arrival,234.22194531187267
served by slow,234.22194531187267
leave slow,237.071338150868
arrival,239.50526359830914
served by slow,239.50526359830914
arrival,240.36698203970934
waiting for fast,240.36698203970934
leave fast,251.5718471923883
move cust. from queue to fast server,251.5718471923883
arrival,263.54734919009223
waiting for fast,263.54734919009223
arrival,267.2049650039621
waiting for slow,267.2049650039621
arrival,269.8170583441928
waiting for fast,269.8170583441928
arrivals completed - 20,269.8170583441928
leave slow,279.65095384363246
move cust. from queue to slow server,279.65095384363246
leave slow,283.123096021121
leave fast,292.3366530531714
move cust. from queue to fast server,292.3366530531714
leave slow,293.5716279239348
leave fast,329.95633322630675
move cust. from queue to fast server,329.95633322630675
leave fast,334.59610574840775
move cust. from queue to fast server,334.59610574840775
leave fast,338.7921708598299
move cust. from queue to fast server,338.7921708598299
leave fast,378.6157466575396
leave fast,403.9627139312555
Finished - Success,1
